computer	n03180011
keyboard	n03085013
eyeglasses	n04272054
flash drive	n03359436
helicopter	n03512147
drone	n03245889
tank	n04389033
car	n02958343
truck	n04490091
mouse	n03793489
cell phone	n02992529
backpack	n02769748
wallet	n04548362
suitcase	n02773838
airplane	n02691156,n03595860
laptop	n03642806,n03832673
monitor	n03782190,n03782006
handbag	n04026417,n02774152
tie	n04591157,n03815615
shoe	n04120489,n04199027
person	n02472293,n10203839,n00007846
cannon	n02950256,n02950482,n02950826
bottle	n02876657,n04557648,n02877266
gun	n04090263,n04086273,n03948459,n03467984
book	n06414372,n06410904,n02870092,n02870526
chair	n04099969,n04373704,n03376595,n03001627,n03002096
missile	n04363210,n03466162,n02693413,n02693540,n02781338,n03509843,n04215910,n03773504
table	n02894337,n03063968,n03090000,n03092883,n03179701,n03246933,n03620967,n03904060,n04379243,n03201208,n04379964

